大手企業,（紹介予定）雇用形態備考,1日7時間以下勤務OK,期間・時間　勤務時間,派遣形態,正社員登用あり,残業月20時間未満,勤務地　備考,仕事の仕方,未経験OK
0,正社員,1,9:00〜17:00　<BR>※残業は月２０時間程度と少なめです。<BR>※休憩は６０分です。,1,1,1,東京都新宿区,2,1
0,,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都港区,3,0
0,,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都港区,3,0
1,,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都足立区,5,1
0,,0,9:30〜18:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都千代田区,2,0
0,正社員,0,8:50〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は５５分です。,1,1,0,東京都中央区,2,0
0,正社員,0,8:50〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は５５分です。,1,1,0,東京都中央区,2,0
0,,1,9:00〜17:00　<BR>※残業は月１０〜２０時間程度と少なめ。<BR>※休憩は６０分です。,0,0,1,東京都新宿区,4,0
0,正社員,0,9:00〜17:30　<BR>※休憩は６０分です。<BR>※就業時間の相談可能です。,1,1,0,東京都中央区,2,1
0,正社員,0,9:00〜17:30　<BR>※休憩は６０分です。<BR>※就業時間の相談可能です。,1,1,0,東京都中央区,2,1
1,,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都足立区,4,1
0,正社員,0,8:45〜17:15　<BR>※休憩は６０分。<BR>※９時〜１７時勤務も相談可能です。,1,1,0,東京都千代田区,3,1
0,正社員,0,8:45〜17:15　<BR>※休憩は６０分。<BR>※９時〜１７時勤務も相談可能です。,1,1,0,東京都千代田区,3,1
0,正社員,0,9:30〜17:30　<BR>※残業は月２０時間程度と少なめです。<BR>※休憩は計７５分です。,1,1,1,東京都千代田区,4,1
1,,0,9:00〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都千代田区,5,0
0,契約社員,0,9:00〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,0,0,東京都立川市,3,1
0,契約社員,0,9:00〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,0,0,東京都立川市,3,1
0,正社員,0,9:00〜17:30　<BR>※休憩は６０分です。,1,1,0,東京都中央区,1,1
0,正社員,0,9:00〜17:30　<BR>※休憩は６０分です。,1,1,0,東京都中央区,1,1
0,正社員,1,9:30〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,1,0,東京都新宿区,5,1
0,正社員,1,9:30〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,1,0,東京都新宿区,5,1
1,,0,9:20〜17:45　<BR>※残業は月１５時間程度と少なめです。<BR>※休憩は６０分です。,0,0,1,東京都新宿区,5,1
0,,0,9:30〜18:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都新宿区,1,1
0,,1,11:00〜16:00　<BR>※休憩は６０分。<BR>※１０時〜１５時勤務も相談可能です。,0,0,0,東京都豊島区,3,1
0,,1,11:00〜16:00　<BR>※休憩は６０分。<BR>※１０時〜１５時勤務も相談可能です。,0,0,0,東京都豊島区,3,1
0,,1,10:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都板橋区,5,1
0,,1,10:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都板橋区,5,1
0,正社員,1,10:00〜16:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,1,0,東京都港区,2,0
0,,0,9:00〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都稲城市,1,1
0,正社員,1,9:00〜17:00　<BR>※休憩は６０分です。,1,1,0,東京都千代田区,5,1
0,正社員,1,9:00〜17:00　<BR>※休憩は６０分です。,1,1,0,東京都千代田区,5,1
1,,0,10:00〜19:00　<BR>※残業は月１０〜２０時間程度と少なめ。<BR>※休憩は６０分です。,0,0,1,東京都目黒区,1,1
0,正社員,0,8:30〜17:00　<BR>※休憩は６０分です。,1,1,0,東京都千代田区,1,1
0,正社員,0,8:30〜17:00　<BR>※休憩は６０分です。,1,1,0,東京都千代田区,1,1
0,,0,8:30〜17:15　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都調布市,5,1
0,,1,10:00〜16:00　<BR>※休憩６０分。<BR>※９〜１６時／９時半〜１７時半も相談可能です。,0,0,0,東京都新宿区,5,0
0,,1,10:00〜16:00　<BR>※休憩６０分。<BR>※９〜１６時／９時半〜１７時半も相談可能です。,0,0,0,東京都新宿区,5,0
0,,0,9:00〜17:30　<BR>※休憩は６０分です。,0,0,0,東京都八王子市,5,1
0,,0,9:00〜17:30　<BR>※休憩は６０分です。,0,0,0,東京都八王子市,5,1
0,,0,8:50〜17:15　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都渋谷区,5,0
0,,0,8:50〜17:15　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都渋谷区,5,0
0,正社員,1,9:30〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,1,0,東京都千代田区,1,0
0,正社員,0,9:00〜18:00　<BR>※休憩は６０分。<BR>※１０〜１９時の勤務もあります。,1,1,1,東京都江東区,1,1
0,正社員,0,9:00〜18:00　<BR>※休憩は６０分。<BR>※１０〜１９時の勤務もあります。,1,1,1,東京都江東区,1,1
0,,1,9:30〜17:30　<BR>※残業は月１０〜２０時間程度と少なめ。<BR>※休憩は６０分です。,0,0,1,東京都杉並区,5,1
0,,1,9:30〜17:30　<BR>※残業は月１０〜２０時間程度と少なめ。<BR>※休憩は６０分です。,0,0,1,東京都杉並区,5,1
0,,1,9:00〜16:30　<BR>※休憩は６０分。<BR>※９：３０〜１７：００の勤務も相談可能です。,0,0,0,東京都葛飾区,2,1
0,,1,9:00〜16:30　<BR>※休憩は６０分。<BR>※９：３０〜１７：００の勤務も相談可能です。,0,0,0,東京都葛飾区,2,1
0,正社員,0,9:15〜17:30　<BR>※休憩は６０分です。,1,1,0,東京都千代田区,1,1
0,正社員,0,9:15〜17:30　<BR>※休憩は６０分です。,1,1,0,東京都千代田区,1,1
1,,0,8:45〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都千代田区,3,0
1,,0,8:45〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都千代田区,3,0
0,,1,10:00〜16:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都千代田区,2,1
0,正社員,0,9:00〜18:00　<BR>※残業は月１０〜２０時間程度と少なめ。<BR>※休憩は６０分です。,1,1,1,東京都千代田区,3,1
0,正社員,0,9:00〜18:00　<BR>※残業は月１０〜２０時間程度と少なめ。<BR>※休憩は６０分です。,1,1,1,東京都千代田区,3,1
0,,1,9:00〜17:00　<BR>※休憩は６０分。<BR>※１０〜１８時・９時半〜１７時半勤務もあり。,0,0,0,東京都豊島区,1,0
0,,1,9:00〜17:00　<BR>※休憩は６０分。<BR>※１０〜１８時・９時半〜１７時半勤務もあり。,0,0,0,東京都豊島区,1,0
0,,1,10:00〜18:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都江東区,2,0
0,,1,10:00〜18:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都江東区,2,0
1,,1,10:00〜15:00　<BR>※残業はほとんどありません。<BR>※休憩は４５分です。,0,0,0,東京都江東区,1,1
1,,1,10:00〜15:00　<BR>※残業はほとんどありません。<BR>※休憩は４５分です。,0,0,0,東京都江東区,1,1
1,正社員,1,9:00〜17:00　<BR>※残業は月１５〜２０時間程度と少なめ。<BR>※休憩は６０分です。,1,1,1,東京都千代田区,1,0
1,正社員,1,9:00〜17:00　<BR>※残業は月１５〜２０時間程度と少なめ。<BR>※休憩は６０分です。,1,1,1,東京都千代田区,1,0
0,,1,9:30〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都中央区,4,1
1,正社員,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,1,0,東京都千代田区,1,0
1,正社員,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,1,0,東京都千代田区,1,0
0,,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都千代田区,4,1
0,,1,10:00〜15:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都練馬区,1,1
0,,1,10:00〜18:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都江東区,2,1
0,正社員,0,9:15〜17:30　<BR>※残業は月１５時間程度と少なめです。<BR>※休憩は６０分です。,1,1,1,東京都千代田区,1,1
0,正社員,0,9:15〜17:30　<BR>※残業は月１５時間程度と少なめです。<BR>※休憩は６０分です。,1,1,1,東京都千代田区,1,1
0,,1,10:00〜16:00　<BR>※休憩は６０分です。<BR>※１０〜１８時勤務もご相談可能です。,0,0,0,東京都大田区,1,0
0,,1,10:00〜16:00　<BR>※休憩は６０分です。<BR>※１０〜１８時勤務もご相談可能です。,0,0,0,東京都大田区,1,0
0,正社員,0,8:00〜17:00　<BR>※休憩は６０分。<BR>※９〜１８時・１０〜１９時勤務も選べます。,1,1,0,東京都葛飾区,4,1
0,,0,8:30〜17:30　<BR>※休憩は６０分。<BR>※表記のうち実働４時間です。,0,0,0,東京都新宿区,2,0
1,正社員,1,9:00〜17:00　<BR>※残業は月１５〜２０時間程度と少なめ。<BR>※休憩は６０分です。,1,1,1,東京都千代田区,1,0
1,正社員,1,9:00〜17:00　<BR>※残業は月１５〜２０時間程度と少なめ。<BR>※休憩は６０分です。,1,1,1,東京都千代田区,1,0
0,,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都港区,3,0
0,,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都港区,3,0
0,,0,8:30〜17:30　<BR>※休憩は６０分。<BR>※９：００〜１７：００の勤務もあります。,0,0,0,東京都江戸川区,3,1
0,,0,9:00〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都文京区,4,1
1,,0,10:00〜18:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都新宿区,1,0
0,,1,9:00〜17:00　<BR>※休憩６０分。<BR>※土曜は９：００〜１２：００の勤務です。,0,0,0,東京都八王子市,5,1
0,,0,9:00〜18:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都千代田区,1,0
0,,0,9:00〜18:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都千代田区,1,0
1,正社員,1,9:00〜17:00　<BR>※残業は月１０〜２０時間程度と少なめ。<BR>※休憩は６０分です。,1,1,1,東京都千代田区,1,0
1,正社員,1,9:00〜17:00　<BR>※残業は月１０〜２０時間程度と少なめ。<BR>※休憩は６０分です。,1,1,1,東京都千代田区,1,0
0,正社員,1,9:30〜17:30　<BR>※休憩は６０分です。<BR>※９時半〜１６時半の勤務も相談可能です。,1,1,0,東京都千代田区,1,1
0,正社員,1,9:30〜17:30　<BR>※休憩は６０分です。<BR>※９時半〜１６時半の勤務も相談可能です。,1,1,0,東京都千代田区,1,1
1,,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都千代田区,1,1
1,,0,9:30〜18:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都文京区,1,0
0,正社員,0,9:00〜18:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,1,0,東京都中央区,2,1
1,,0,9:00〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都港区,5,0
1,,0,9:00〜18:00　<BR>※休憩は６０分。<BR>※９時〜１６時の勤務もＯＫです。,0,0,0,東京都目黒区,3,0
1,,0,9:00〜18:00　<BR>※休憩は６０分。<BR>※９時〜１６時の勤務もＯＫです。,0,0,0,東京都目黒区,3,0
0,,0,9:00〜18:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都江東区,1,1
0,,0,9:00〜18:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都江東区,1,1
0,,1,9:00〜17:00　<BR>※休憩６０分。<BR>※８：３０〜１７：３０のフルも相談可能です。,0,0,0,東京都品川区,2,0
1,,0,8:45〜17:30　<BR>※休憩４５分。<BR>※表記時間内で就業時間の相談可能です。,0,0,0,東京都板橋区,2,0
1,,0,10:00〜18:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都新宿区,1,0
1,,0,10:00〜18:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都新宿区,1,0
1,,0,8:50〜17:20　<BR>※残業は月２０時間程度と少なめです。<BR>※休憩は４５分です。,0,0,1,東京都国分寺市,5,1
0,,0,8:50〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は４５分です。,0,0,0,東京都杉並区,2,1
0,,1,9:00〜17:00　<BR>※残業は月１５時間程度と少なめです。<BR>※休憩は６０分です。,0,0,1,東京都立川市,5,1
0,正社員,1,9:00〜17:00　<BR>※残業は月１０〜２０時間程度と少なめです。<BR>※休憩６０分。,1,1,1,東京都港区,3,0
0,正社員,1,9:00〜17:00　<BR>※残業は月１０〜２０時間程度と少なめです。<BR>※休憩６０分。,1,1,1,東京都港区,3,0
1,,0,9:00〜17:45　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都台東区,1,1
0,,0,8:30〜17:30　<BR>※休憩は６０分です。<BR>※８時半〜１７時の勤務もあります。,0,0,1,東京都江戸川区,5,1
1,契約社員,0,9:00〜17:15　<BR>※残業は月５〜２０時間程度と少なめです。<BR>※休憩は６０分です。,1,0,1,東京都三鷹市,5,1
1,契約社員,0,9:00〜17:15　<BR>※残業は月５〜２０時間程度と少なめです。<BR>※休憩は６０分です。,1,0,1,東京都三鷹市,5,1
0,正社員,0,8:30〜17:30　<BR>※休憩は６０分です。,1,1,0,東京都板橋区,4,1
1,,0,9:00〜17:45　<BR>※休憩は６０分です。<BR>※９：３０〜１８：１５も相談可能です。,0,0,0,東京都千代田区,3,1
1,,0,10:00〜18:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都新宿区,1,0
1,,0,10:00〜18:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都新宿区,1,0
0,,0,8:45〜17:20　<BR>※残業はほとんどありません。<BR>※休憩は交替制で６０分です。,0,0,0,東京都調布市,5,0
0,正社員,0,9:30〜18:00　<BR>※残業は月１０〜２０時間と少なめです。<BR>※休憩は６０分です。,1,1,1,東京都港区,2,1
0,正社員,0,9:30〜18:00　<BR>※残業は月１０〜２０時間と少なめです。<BR>※休憩は６０分です。,1,1,1,東京都港区,2,1
0,,0,10:00〜19:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都渋谷区,2,0
0,,0,9:00〜18:00　<BR>※残業は月１５時間程度と少なめ。<BR>※休憩は６０分です。,0,0,1,東京都羽村市,1,1
0,,1,10:00〜16:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都新宿区,1,0
0,,1,10:00〜16:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都新宿区,1,0
0,正社員,0,9:00〜18:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,1,0,東京都港区,1,0
0,,1,10:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都台東区,3,1
0,,1,10:00〜16:30　<BR>※休憩は６０分です。<BR>※１０時〜１７時半の勤務もあります。,0,0,0,東京都渋谷区,4,1
0,,1,10:00〜16:30　<BR>※休憩は６０分です。<BR>※１０時〜１７時半の勤務もあります。,0,0,0,東京都渋谷区,4,1
0,,0,8:30〜17:15　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都江東区,5,0
0,,0,8:30〜17:15　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都江東区,5,0
1,,0,9:00〜18:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都立川市,2,1
1,,0,9:00〜18:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都立川市,2,1
1,,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都府中市,5,1
0,正社員,1,9:00〜17:00　<BR>※休憩は６０分です。,1,1,0,東京都世田谷区,1,1
0,正社員,1,9:00〜17:00　<BR>※休憩は６０分です。,1,1,0,東京都世田谷区,1,1
1,,0,10:00〜18:30　<BR>※残業は月１０〜１５時間程度と少なめ。<BR>※休憩は６０分です。,0,0,1,東京都渋谷区,1,0
1,,0,10:00〜18:30　<BR>※残業は月１０〜１５時間程度と少なめ。<BR>※休憩は６０分です。,0,0,1,東京都渋谷区,1,0
0,,1,9:00〜17:00　<BR>※休憩６０分。<BR>※土日出勤時は８：３０始業です。,0,0,0,東京都豊島区,5,1
0,,1,9:00〜17:00　<BR>※休憩６０分。<BR>※土日出勤時は８：３０始業です。,0,0,0,東京都豊島区,5,1
0,,0,9:30〜17:30　<BR>※残業はほとんどありません。<BR>※繁忙期あり。<BR>※休憩は５５分。,0,0,0,東京都台東区,5,1
0,,0,9:30〜17:30　<BR>※残業はほとんどありません。<BR>※繁忙期あり。<BR>※休憩は５５分。,0,0,0,東京都台東区,5,1
0,,0,9:00〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は４５分です。,0,0,0,東京都板橋区,2,1
0,,0,9:00〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は４５分です。,0,0,0,東京都板橋区,2,1
0,正社員,0,9:00〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,1,0,東京都千代田区,1,1
0,,0,8:30〜17:30　<BR>※休憩６０分。<BR>※８時半〜１７時半の間で４Ｈ勤務も相談可。,0,0,0,東京都新宿区,2,0
0,正社員,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,1,0,東京都中央区,3,1
0,,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都千代田区,5,1
0,,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都千代田区,5,1
0,,0,9:00〜18:00　<BR>※残業は月５〜１５時間程度と少なめ。<BR>※休憩は６０分です。,0,0,1,東京都国分寺市,2,1
1,,0,9:00〜17:30　<BR>※残業は月２０時間程度と少なめです。<BR>※休憩は４５分です。,0,0,1,東京都中央区,1,0
0,正社員,0,10:00〜19:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,1,0,東京都港区,1,0
0,正社員,0,10:00〜19:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,1,0,東京都港区,1,0
0,,0,9:30〜18:30　<BR>※休憩は６０分です。<BR>※９：３０〜１８：００勤務もあります。,0,0,1,東京都渋谷区,5,0
0,,0,9:30〜18:30　<BR>※休憩は６０分です。<BR>※９：３０〜１８：００勤務もあります。,0,0,1,東京都渋谷区,5,0
0,,0,8:40〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都文京区,4,1
0,,0,9:30〜18:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都八王子市,1,1
0,,1,9:30〜16:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都文京区,1,1
1,,0,10:00〜19:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都港区,1,1
1,,0,10:00〜19:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都港区,1,1
0,,0,8:30〜17:15　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都港区,1,0
1,,0,9:00〜17:30　<BR>※休憩は６０分です。<BR>※９〜１７時の勤務もあります。,0,0,0,東京都千代田区,3,1
0,,0,9:30〜18:30　<BR>※休憩は６０分です。,0,0,0,東京都千代田区,5,0
0,,1,10:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都西東京市,1,0
0,,1,10:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都西東京市,1,0
0,,1,9:00〜17:00　<BR>※休憩は６０分です。,0,0,0,東京都目黒区,3,1
1,,0,9:00〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都世田谷区,1,0
0,,1,9:00〜17:00　<BR>※残業は月５〜１５時間と少なめです。<BR>※休憩は６０分です。,0,0,1,東京都調布市,2,1
0,,1,9:00〜17:00　<BR>※残業は月５〜１５時間と少なめです。<BR>※休憩は６０分です。,0,0,1,東京都調布市,2,1
0,,0,9:00〜17:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都千代田区,3,1
0,,1,9:00〜16:00　<BR>※休憩は６０分です。<BR>※９時〜１５時の勤務も相談可能です。,0,0,0,東京都江東区,2,1
0,,0,9:00〜17:45　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都千代田区,3,1
0,正社員,0,10:00〜19:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,1,0,東京都千代田区,1,1
0,正社員,0,10:00〜19:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,1,1,0,東京都千代田区,1,1
1,,0,9:30〜18:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都武蔵野市,1,1
1,,0,9:30〜18:30　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都武蔵野市,1,1
0,,0,9:30〜18:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都台東区,1,1
1,,0,9:30〜18:00　<BR>※休憩は６０分です。<BR>※９時〜１７時半の勤務もご相談可能です。,0,0,1,東京都渋谷区,1,1
1,,0,9:30〜18:00　<BR>※休憩は６０分です。<BR>※９時〜１７時半の勤務もご相談可能です。,0,0,1,東京都渋谷区,1,1
1,,1,9:00〜17:00　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都府中市,1,1
0,,0,8:50〜17:35　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,神奈川県川崎市中原区,1,1
0,,0,8:30〜17:15　<BR>※残業はほとんどありません。<BR>※休憩は６０分です。,0,0,0,東京都千代田区,1,1
0,正社員,0,9:00〜17:30　<BR>※残業は月５〜２０時間程度と少なめです。<BR>※休憩は６０分です。,1,1,1,東京都新宿区,3,1
0,正社員,0,9:00〜17:30　<BR>※残業は月５〜２０時間程度と少なめです。<BR>※休憩は６０分です。,1,1,1,東京都新宿区,3,1
